year,state,atkin05,gini,rmeandev,theil,top10,top1
1917,"Wisconsin",.1887491,.4416803,.6836622,.5349777,.418187,.1495173
1917,"Wyoming",.1677386,.4289924,.6582669,.4435975,.3924755,.1174991
1918,"United States",.1906772,.4412274,.6426875,.5916446,.3980316,.1681587
1918,"Alabama",.1134493,.3463207,.4931311,.2957505,.3131252,.0985115
1918,"Alaska",,,,,,
1918,"Arizona",.1275344,.356601,.5157492,.3602401,.3341361,.1169914
1918,"Arkansas",.1249764,.3771564,.5508856,.3113166,.326553,.0906383
1918,"California",.1629971,.417187,.5995523,.4518773,.3724901,.1336128
1918,"Colorado",.1164028,.3398132,.4809587,.329686,.3088033,.1113403
1918,"Connecticut",.2027451,.46017,.6741828,.5993856,.4186705,.1698542
1918,"Delaware",.3292918,.5692297,.8928802,1.228273,.539356,.2983487
1918,"District of Columbia",.186413,.4386059,.645628,.5457698,.4026858,.1609191
1918,"Florida",.1323173,.3829314,.5639138,.3353738,.3413453,.0981694
1918,"Georgia",.142182,.3929707,.5683011,.3750497,.3497378,.1123281
1918,"Hawaii",,,,,,
1918,"Idaho",.080031,.3037361,.4272932,.1894571,.2549937,.064819
1918,"Illinois",.1900577,.4475958,.6528363,.5648894,.3984618,.1597292
1918,"Indiana",.107,.3305395,.46669,.2853169,.300392,.1001694
1918,"Iowa",.0804482,.3008145,.4169661,.1895865,.2542003,.0671751
1918,"Kansas",.0952271,.3243822,.4543091,.2347049,.2778823,.0801653
1918,"Kentucky",.1523333,.405138,.595336,.4101263,.3620866,.1235901
1918,"Louisiana",.1929271,.4665713,.6826429,.5187376,.4085497,.1345108
1918,"Maine",.1621119,.4131114,.5981022,.4549799,.3704586,.1369907
1918,"Maryland",.1769278,.4229593,.6128491,.5285689,.3886399,.1541842
1918,"Massachusetts",.2436398,.5024483,.7557604,.7543389,.465778,.2031055
1918,"Michigan",.1788797,.4270504,.6208984,.5433388,.386009,.1584809
1918,"Minnesota",.1475482,.3801218,.5390351,.4366127,.3461573,.1405957
1918,"Mississippi",.127984,.3776937,.534368,.3239076,.3281088,.095933
1918,"Missouri",.1637695,.4201298,.6085218,.4462308,.3747905,.1295874
1918,"Montana",.100785,.3174142,.4410331,.2846974,.295552,.0952293
1918,"Nebraska",.0827931,.3053495,.4314612,.199653,.2586772,.0698481
1918,"Nevada",.0689807,.2826846,.3873916,.1584928,.2530411,.0554275
1918,"New Hampshire",.1721884,.4252045,.621924,.4845617,.3847933,.1458858
1918,"New Jersey",.1856407,.4334252,.6351362,.558737,.3985374,.1631551
1918,"New Mexico",.0823263,.2883859,.4030514,.2166218,.2590821,.0856649
1918,"New York",.2962823,.5576692,.8523374,1.002401,.5148253,.240625
1918,"North Carolina",.1746696,.4234065,.6334424,.5088953,.3909031,.149088
1918,"North Dakota",.0711363,.2877223,.4093879,.1623224,.247879,.0560176
1918,"Ohio",.1681491,.4066271,.5865211,.5095329,.3748569,.1538677
1918,"Oklahoma",.1267851,.3648473,.5167052,.3446548,.3233757,.1094235
1918,"Oregon",.1486096,.392486,.5640712,.42963,.349795,.1290966
1918,"Pennsylvania",.2034452,.4455734,.6485426,.6567025,.409202,.1903251
1918,"Rhode Island",.2736436,.5297963,.8072613,.8999565,.4945647,.2325078
1918,"South Carolina",.109053,.349944,.506386,.2696592,.3066934,.0846764
1918,"South Dakota",.0617131,.2704589,.3822048,.1374436,.2258528,.0493109
1918,"Tennessee",.1474655,.397217,.5808414,.3942857,.3599417,.1174507
1918,"Texas",.1595172,.4112734,.6067642,.4457123,.371771,.1283135
1918,"Utah",.1044412,.3402292,.4854476,.2609748,.2992168,.0857655
1918,"Vermont",.181604,.439477,.6344076,.5137966,.3907123,.1518025
1918,"Virginia",.1395235,.3841889,.5565502,.3782359,.3478927,.1141484
1918,"Washington",.1099494,.3365912,.4788277,.3019956,.3038208,.1012336
1918,"West Virginia",.121431,.3530064,.4964992,.3339199,.3127095,.1116724
1918,"Wisconsin",.1469316,.391582,.5612245,.403858,.3522542,.1271741
1918,"Wyoming",.1600481,.4281212,.6374921,.4113265,.3754452,.1099696
1919,"United States",.1965527,.4555917,.6635914,.5953969,.4048423,.1644383
1919,"Alabama",.1384937,.3891479,.5635007,.3616402,.3455664,.1092866
1919,"Alaska",,,,,,
1919,"Arizona",.112891,.347697,.5034295,.2958279,.3109658,.0965769
1919,"Arkansas",.1210004,.3676561,.5350856,.3043651,.323413,.0912075
1919,"California",.1729336,.4374061,.633459,.4737197,.3811562,.1325992
1919,"Colorado",.1415208,.3912016,.5619656,.382854,.340607,.1177443
1919,"Connecticut",.1983371,.4604077,.6808813,.5712786,.4160212,.1604166
1919,"Delaware",.3079698,.5529214,.8525426,1.113871,.5183775,.2791737
1919,"District of Columbia",.1887001,.4500481,.6570241,.5455331,.3991043,.1544847
1919,"Florida",.1463628,.4002829,.5725786,.3960723,.3479351,.1137842
1919,"Georgia",.1442481,.396401,.5713865,.3811145,.3528757,.1131431
1919,"Hawaii",,,,,,
1919,"Idaho",.088682,.3220681,.4534894,.2090681,.2667581,.066624
1919,"Illinois",.1810666,.4394391,.6280357,.5276092,.383557,.1487274
1919,"Indiana",.1221391,.3598751,.5105135,.3243312,.3181348,.1062092
1919,"Iowa",.090786,.3208349,.4408273,.2129345,.2697703,.0693449
1919,"Kansas",.1062052,.3374415,.4687278,.2792025,.2904819,.0904227
1919,"Kentucky",.1258606,.3741129,.5362234,.3214794,.3249722,.0978383
1919,"Louisiana",.2172577,.4924037,.7346104,.6075022,.4349244,.1576279
1919,"Maine",.1508073,.4040117,.5787463,.4192945,.3479155,.1234769
1919,"Maryland",.1929269,.4528202,.6608224,.5641522,.4068817,.1557072
1919,"Massachusetts",.2366998,.498111,.7413621,.7220799,.4587551,.1933407
1919,"Michigan",.2141453,.4569566,.6598511,.8296806,.4069375,.1903306
1919,"Minnesota",.1568137,.4063137,.5827113,.445558,.3598025,.135955
1919,"Mississippi",.1715388,.4408289,.6452347,.4487562,.3868688,.1194827
1919,"Missouri",.1750546,.4406373,.6404395,.4733218,.3851254,.1312134
1919,"Montana",.0891834,.3091184,.4265068,.2349423,.2728004,.0812012
1919,"Nebraska",.113877,.3610844,.5148585,.2834807,.3031093,.0853345
1919,"Nevada",.0854515,.3099363,.4384404,.2139182,.2713553,.0712899
1919,"New Hampshire",.1490597,.4011847,.5737543,.4065672,.3495324,.1244288
1919,"New Jersey",.1833041,.4374359,.6287217,.5388045,.3908882,.155564
1919,"New Mexico",.094041,.3185644,.4662121,.2347456,.2870621,.0817154
1919,"New York",.2954231,.5652125,.8651275,.9463493,.5171956,.2272036
1919,"North Carolina",.1772889,.435479,.635906,.5082268,.3851666,.1430916
1919,"North Dakota",.0762085,.2970293,.4057196,.1732313,.251739,.0593833
1919,"Ohio",.1878029,.4468267,.6534761,.5444041,.4010631,.152039
1919,"Oklahoma",.1444139,.3928138,.5590045,.403149,.3430501,.1186666
1919,"Oregon",.1623917,.4190921,.6011756,.4624405,.3593197,.1329239
1919,"Pennsylvania",.217677,.474472,.7011296,.6788309,.4305027,.1870362
1919,"Rhode Island",.2513688,.5167558,.7776279,.7768367,.4711131,.2040833
1919,"South Carolina",.1214557,.3666199,.5185862,.3080724,.3184332,.0967022
1919,"South Dakota",.0786977,.3034654,.4215196,.1784322,.251903,.0596915
1919,"Tennessee",.1665286,.4323708,.6306829,.4382547,.3764966,.1212623
1919,"Texas",.1606138,.4168939,.6044762,.4444263,.3665673,.1279318
1919,"Utah",.1008822,.3378275,.4777873,.2476281,.2914761,.0806904
1919,"Vermont",.1760976,.4379499,.6337256,.4888112,.3817198,.1437964
1919,"Virginia",.1396495,.3895539,.5631713,.3717336,.3455667,.1113476
1919,"Washington",.1367848,.3883131,.5647568,.3692302,.337677,.1092566
1919,"West Virginia",.1443973,.392055,.5625569,.3930339,.346716,.1231495
1919,"Wisconsin",.1385611,.3930795,.562918,.3619835,.3361313,.1092718
1919,"Wyoming",.1089384,.3418047,.4868306,.2819351,.306025,.0943001
1920,"United States",.1571086,.4021934,.5838735,.4568307,.3656211,.1373764
1920,"Alabama",.1148928,.3444791,.4909891,.3035955,.3180363,.1024532
1920,"Alaska",,,,,,
1920,"Arizona",.0730067,.2724391,.3829764,.1837474,.2609043,.0750682
1920,"Arkansas",.1020979,.3229347,.4591609,.2712612,.2989703,.0927438
